SOURCE_ID,teff_gspphot,lum_flame,radius_flame,parallax_over_error,ruwe,spectral
143439576837601536,4489.5356,0.15734065,0.6582676,27.237492,0.98159873,K (3900-5300)
143440706411703040,6361.874,4.0188894,1.6497073,283.73407,0.9889781,F (6000-7500)
143443871804706560,5270.393,0.4927174,0.84438974,27.43137,0.95639974,K (3900-5300)
143449335003380352,6428.442,2.7185829,1.3278034,55.25164,1.1356195,F (6000-7500)
143449644241024768,4611.8213,0.181252,0.66971993,38.36022,1.0414866,K (3900-5300)
143450228356452480,3544.6487,0.018848628,0.3784194,20.121233,1.1806424,M (3000-3900)
143451877623897984,4794.846,0.2843441,0.7754014,21.313974,0.93595093,K (3900-5300)
143455794634190592,6955.7627,4.4141645,1.4499599,33.568954,1.0462259,F (6000-7500)
143456000792618368,5286.31,8.954017,3.569101,82.89677,1.0250238,K (3900-5300)
143467236426912512,4791.136,0.22648312,0.69187987,110.09496,1.016651,K (3900-5300)
143470775479961600,3686.7078,0.08977911,0.7363423,25.095587,1.0867895,M (3000-3900)
143474417612208640,5813.7744,1.1540589,1.060449,42.106514,0.9521932,G (5300-6000)
143475517123815552,5295.0815,0.45478174,0.7985996,44.74196,1.027651,K (3900-5300)
143480636724812288,6176.9536,4.386434,1.8298078,29.13575,1.0450734,F (6000-7500)
143484175777835776,5329.658,0.9314842,1.1229486,42.075096,1.0287114,G (5300-6000)
143485034771280512,6218.5483,2.8276584,1.4498329,173.13757,0.9582102,F (6000-7500)
143485584527096320,5929.1685,1.9472989,1.3305594,44.41437,0.93608207,G (5300-6000)
143493040590457856,5899.2983,1.8289144,1.2965653,26.16371,1.060243,G (5300-6000)
143498125831527808,4420.5234,0.2578382,0.8644901,25.823122,1.1521268,K (3900-5300)
143500977689878784,5815.524,1.2532743,1.0945699,79.60132,0.9786836,G (5300-6000)
143506677109412224,6234.9976,2.5828695,1.3824042,35.48778,1.0164447,F (6000-7500)
143508261954377216,5115.23,0.5261212,0.9245303,20.767649,1.0641489,K (3900-5300)
143531798375062144,6803.6836,5.8391814,1.7286341,44.79534,1.0523922,F (6000-7500)
143532485570003072,6310.3867,2.8489406,1.4151258,90.72316,0.9941356,F (6000-7500)
143532932246598784,3485.9294,0.029128427,0.46884248,61.58364,1.0639449,M (3000-3900)
143537119837586688,5982.6436,5.2500606,2.1319695,61.79022,1.1247425,G (5300-6000)
143539357517528704,6083.259,1.8689873,1.2260556,24.093512,1.0321261,F (6000-7500)
143561519549002368,5309.397,0.9440539,1.1522022,30.48564,1.0796337,G (5300-6000)
143562034945067008,4670.922,23.111439,7.3526206,29.006197,1.231027,K (3900-5300)
143573270579518592,5439.796,0.97089386,1.1114669,23.545902,1.1967137,G (5300-6000)
143577428107835904,4151.072,0.09005671,0.5807151,21.344107,0.9784311,K (3900-5300)
143578561979198336,5859.8135,1.3182312,1.1123,37.395206,1.1153594,G (5300-6000)
143581997953023488,4734.108,0.2551055,0.75121045,24.948837,1.1356143,K (3900-5300)
143582066672498560,6174.855,1.6395817,1.1117883,118.387886,1.1766195,F (6000-7500)
143583406702307328,5414.789,0.8091698,1.0156523,23.522135,0.99409676,G (5300-6000)
143583681580205184,5584.2417,1.2653452,1.2016164,181.26457,0.9318944,G (5300-6000)
143584334415238016,6223.545,5.3870277,1.9978095,45.260563,1.2034581,F (6000-7500)
143586224200816000,5995.703,5.479619,2.1658893,38.959023,1.061245,G (5300-6000)
143589488375975168,4363.063,0.15428077,0.6839907,20.433496,1.0320618,K (3900-5300)
143592340234259200,5045.1567,0.44426912,0.8732405,127.66126,1.1252218,K (3900-5300)
143595535689904000,5686.1797,1.3718071,1.2066971,104.25676,1.1168921,G (5300-6000)
143597322396430464,5060.346,0.49511868,0.9134395,22.016243,1.0919335,K (3900-5300)
143607595958066304,4325.719,0.11626584,0.60337806,23.822828,1.1488366,K (3900-5300)
143616834431853440,5541.262,0.6155206,0.8513034,24.006231,1.1791134,G (5300-6000)
143624775827144576,5749.2334,1.0001218,1.0107754,180.5445,1.1419032,G (5300-6000)
143626390735004928,5949.668,1.3749232,1.1063391,58.61956,1.0940042,G (5300-6000)
143630376464488704,5481.7954,0.73395467,1.0015668,50.254196,1.1162263,G (5300-6000)
143633228322740224,4910.5127,74.99102,11.967896,28.295418,1.1129178,K (3900-5300)
143634774510960000,4924.7153,0.3432361,0.80448043,73.300064,1.0596107,K (3900-5300)
143635972805693312,4534.57,0.44053134,1.079823,35.08636,1.074759,K (3900-5300)
143638790304545408,5583.7607,1.2534136,1.1935931,20.30954,1.0168085,G (5300-6000)
143640924904165760,4403.641,0.17422503,0.70530075,46.945007,1.0502216,K (3900-5300)
143647590693361152,5680.785,1.3342527,1.1947482,117.17278,0.9909204,G (5300-6000)
143649720997132416,5906.126,6.8861694,2.5076911,30.096985,1.0700121,G (5300-6000)
143652126179435392,5091.042,0.46594694,0.8783401,28.243465,1.1281286,K (3900-5300)
143653638007300608,5619.047,1.0582911,1.0835423,33.737007,0.9233142,G (5300-6000)
143657413281634816,6353.5913,6.560884,2.1076138,79.80747,1.0353813,F (6000-7500)
143666625988539904,6534.62,8.164871,2.2321262,22.837675,1.0115137,F (6000-7500)
143670405559726080,5824.55,1.1813016,1.0674962,223.81668,1.0277762,G (5300-6000)
143672467143858176,6975.418,5.9609833,1.486343,97.183876,0.9785471,F (6000-7500)
143677655464371200,3269.8372,0.006356356,0.2485049,44.06888,1.054434,M (3000-3900)
143680610401866624,4678.8545,0.27699834,0.7922595,59.89793,1.0654593,K (3900-5300)
143687070032626688,3589.4248,0.02745043,0.42841113,37.68123,0.9841673,M (3000-3900)
143687104392361600,4469.1475,0.22888263,0.79556406,34.806377,1.1095729,K (3900-5300)
143689234696838400,3838.4197,0.06442153,0.5784334,20.484222,0.9365272,M (3000-3900)
143697687192132352,3755.2952,0.061393145,0.58328086,29.447134,1.0664704,M (3000-3900)
143700195453006720,4992.036,0.4494503,0.8955233,35.32245,1.0030745,K (3900-5300)
143705761730595584,5898.1357,1.5661839,1.1986737,103.21009,1.0231305,G (5300-6000)
143720536417960192,4821.027,0.2905635,0.7679154,33.868687,1.0165105,K (3900-5300)
