source_id,spec_class,teff_K,L_Lsun,scenario,A,eps,a_in_AU,a_out_AU,width_AU,d_a_in_AU,d_a_out_AU,d_width_AU,d_a_in_pct,d_a_out_pct,d_width_pct
4552524630634118656,M,3207.6921,0.00697944,midA_strongGH,0.3,0.3,0.070998888,0.13250005,0.061501158,0.020795093,0.038808365,0.018013272,41.421356,41.421356,41.421356
853645198420332672,M,3773.7585,0.06149652,midA_strongGH,0.3,0.3,0.21074949,0.3933064,0.18255691,0.061727096,0.11519678,0.053469681,41.421356,41.421356,41.421356
2169652108822841600,M,3830.2334,0.066877045,midA_strongGH,0.3,0.3,0.21977576,0.41015147,0.19037571,0.06437083,0.12013059,0.055759755,41.421356,41.421356,41.421356
143468301578793344,M,3818.9375,0.046632033,midA_strongGH,0.3,0.3,0.18352001,0.34249001,0.15897,0.053751767,0.100313,0.046561235,41.421356,41.421356,41.421356
4793190825257267456,M,3606.2253,0.08647676,midA_strongGH,0.3,0.3,0.24991422,0.46639667,0.21648246,0.073198179,0.13660442,0.063406244,41.421356,41.421356,41.421356
3997775114103572992,M,3467.711,0.02856031,midA_strongGH,0.3,0.3,0.14362258,0.26803234,0.12440976,0.042066079,0.078504855,0.036438776,41.421356,41.421356,41.421356
6782610360978836736,M,3394.9602,0.018092845,midA_strongGH,0.3,0.3,0.11431275,0.21333356,0.099020801,0.033481431,0.062483952,0.029002521,41.421356,41.421356,41.421356
6392030948523053824,M,3571.4026,0.018008374,midA_strongGH,0.3,0.3,0.11404559,0.21283497,0.098789379,0.033403181,0.06233792,0.028934739,41.421356,41.421356,41.421356
1246767025356587264,M,3448.673,0.018100927,midA_strongGH,0.3,0.3,0.11433828,0.2133812,0.099042915,0.033488908,0.062497906,0.029008998,41.421356,41.421356,41.421356
1884318086809940352,M,3626.1707,0.03324649,midA_strongGH,0.3,0.3,0.15495806,0.28918692,0.13422886,0.045386164,0.084700887,0.039314723,41.421356,41.421356,41.421356
2079829258737856640,M,3619.2576,0.06462765,midA_strongGH,0.3,0.3,0.21604809,0.4031948,0.18714671,0.063279022,0.11809302,0.054814001,41.421356,41.421356,41.421356
142224616488164096,M,3247.4524,0.013923925,midA_strongGH,0.3,0.3,0.10028179,0.1871486,0.086866804,0.029371857,0.054814555,0.025442698,41.421356,41.421356,41.421356
2519289968858720896,M,3465.4253,0.04499653,midA_strongGH,0.3,0.3,0.18027303,0.33643041,0.15615738,0.052800749,0.098538187,0.045737438,41.421356,41.421356,41.421356
3403560375749587072,M,3484.0505,0.040166363,midA_strongGH,0.3,0.3,0.17032269,0.31786082,0.14753812,0.049886361,0.093099278,0.043212916,41.421356,41.421356,41.421356
4130006879293060864,M,3593.228,0.0235187,midA_strongGH,0.3,0.3,0.13033106,0.24322734,0.11289629,0.038173082,0.071239639,0.033066557,41.421356,41.421356,41.421356
4445618359149979008,M,3754.8066,0.04409603,midA_strongGH,0.3,0.3,0.17846005,0.33304697,0.15458692,0.052269738,0.097547199,0.045277461,41.421356,41.421356,41.421356
5447850115839424000,M,3402.0068,0.024331288,midA_strongGH,0.3,0.3,0.13256345,0.2473935,0.11483005,0.038826936,0.072459879,0.033632943,41.421356,41.421356,41.421356
4768790463211736448,M,3330.395,0.01791294,midA_strongGH,0.3,0.3,0.113743,0.21227027,0.098527268,0.033314554,0.062172523,0.028857969,41.421356,41.421356,41.421356
3221217088224717824,M,3889.8142,0.05019932,midA_strongGH,0.3,0.3,0.19041018,0.35534864,0.16493845,0.055769852,0.10407921,0.048309355,41.421356,41.421356,41.421356
3336875751439460352,M,3779.3772,0.043898,midA_strongGH,0.3,0.3,0.17805887,0.33229829,0.15423942,0.052152237,0.097327916,0.045175679,41.421356,41.421356,41.421356
2460748323368652416,M,3641.5854,0.03472122,midA_strongGH,0.3,0.3,0.15835754,0.29553113,0.13717359,0.04638185,0.086559063,0.040177213,41.421356,41.421356,41.421356
5926576855809175168,M,3520.0115,0.042841457,midA_strongGH,0.3,0.3,0.17590305,0.32827503,0.15237198,0.051520811,0.096149532,0.044628721,41.421356,41.421356,41.421356
5953583438361053312,M,3500.329,0.03179837,midA_strongGH,0.3,0.3,0.15154572,0.28281873,0.13127301,0.044386715,0.082835688,0.038448973,41.421356,41.421356,41.421356
1353667868001512064,M,3587.819,0.028596384,midA_strongGH,0.3,0.3,0.14371325,0.26820156,0.12448831,0.042092637,0.078554418,0.036461781,41.421356,41.421356,41.421356
6187914109544963200,M,3565.7095,0.026400832,midA_strongGH,0.3,0.3,0.13808613,0.25770008,0.11961394,0.040444492,0.075478605,0.035034113,41.421356,41.421356,41.421356
5389613279883708672,M,3474.0444,0.019745024,midA_strongGH,0.3,0.3,0.11941808,0.22286126,0.10344317,0.034976746,0.06527455,0.030297804,41.421356,41.421356,41.421356
5656173003404748800,M,3519.2927,0.028110445,midA_strongGH,0.3,0.3,0.14248696,0.26591302,0.12342606,0.041733464,0.07788412,0.036150656,41.421356,41.421356,41.421356
4534267038203940352,M,3541.688,0.024098357,midA_strongGH,0.3,0.3,0.13192739,0.24620647,0.11427908,0.038640638,0.072112205,0.033471566,41.421356,41.421356,41.421356
2818454163515646976,M,3729.1223,0.053805877,midA_strongGH,0.3,0.3,0.19713154,0.36789221,0.17076067,0.057738491,0.10775313,0.050014644,41.421356,41.421356,41.421356
6911866748916686848,M,3342.8342,0.009211309,midA_strongGH,0.3,0.3,0.081564642,0.15221814,0.0706535,0.02388973,0.044583661,0.020693931,41.421356,41.421356,41.421356
1874611323281293952,M,3485.472,0.020482592,midA_strongGH,0.3,0.3,0.12162804,0.22698554,0.1053575,0.035624029,0.066482526,0.030858498,41.421356,41.421356,41.421356
5298642741522077696,M,3522.507,0.028678628,midA_strongGH,0.3,0.3,0.14391977,0.26858696,0.1246672,0.042153123,0.078667299,0.036514176,41.421356,41.421356,41.421356
6902974487283334912,M,3823.1519,0.06889887,midA_strongGH,0.3,0.3,0.22307315,0.41630516,0.193232,0.065336614,0.12193296,0.056596343,41.421356,41.421356,41.421356
4148621233194655872,M,3680.6086,0.084476255,midA_strongGH,0.3,0.3,0.24700661,0.46097043,0.21396381,0.072346562,0.13501511,0.06266855,41.421356,41.421356,41.421356
5554212227848124160,M,3354.4434,0.018679963,midA_strongGH,0.3,0.3,0.11615269,0.21676729,0.1006146,0.034020335,0.063489669,0.029469334,41.421356,41.421356,41.421356
4730165032046332032,M,3443.3193,0.01509078,midA_strongGH,0.3,0.3,0.10439918,0.19483258,0.090433398,0.030577813,0.057065142,0.026487329,41.421356,41.421356,41.421356
1215302850860319232,M,3814.8933,0.06795083,midA_strongGH,0.3,0.3,0.22153311,0.41343108,0.19189797,0.064885545,0.12109116,0.056205615,41.421356,41.421356,41.421356
2604809227353195776,M,3569.221,0.042322762,midA_strongGH,0.3,0.3,0.17483495,0.32628172,0.15144677,0.051207972,0.095565703,0.044357731,41.421356,41.421356,41.421356
5516273686508696960,M,3338.3467,0.010678185,midA_strongGH,0.3,0.3,0.087819301,0.16389076,0.076071455,0.025721678,0.048002491,0.022280813,41.421356,41.421356,41.421356
6002058195917775488,M,3482.7656,0.019517466,midA_strongGH,0.3,0.3,0.11872795,0.22157331,0.10284536,0.034774612,0.064897321,0.03012271,41.421356,41.421356,41.421356
345437180168456960,M,3746.3423,0.053883493,midA_strongGH,0.3,0.3,0.19727367,0.36815746,0.17088379,0.057780121,0.10783082,0.050050704,41.421356,41.421356,41.421356
1140823788621782656,M,3690.4985,0.05917469,midA_strongGH,0.3,0.3,0.20673274,0.38581023,0.17907749,0.060550617,0.1130012,0.052450583,41.421356,41.421356,41.421356
3950191308870884992,M,3219.1519,0.004523236,midA_strongGH,0.3,0.3,0.057156533,0.10666707,0.049510536,0.016740761,0.031242061,0.0145013,41.421356,41.421356,41.421356
3526098021790949632,M,3443.7012,0.01938125,midA_strongGH,0.3,0.3,0.11831291,0.22079876,0.10248585,0.03465305,0.06467046,0.03001741,41.421356,41.421356,41.421356
3886440422100617344,M,3202.4136,0.006178865,midA_strongGH,0.3,0.3,0.066802945,0.12466946,0.057866519,0.01956613,0.036514841,0.016948711,41.421356,41.421356,41.421356
1834102188197970304,M,3486.7659,0.01980324,midA_strongGH,0.3,0.3,0.119594,0.22318955,0.10359556,0.035028271,0.065370707,0.030342436,41.421356,41.421356,41.421356
3716300171752649984,M,3485.537,0.029096305,midA_strongGH,0.3,0.3,0.144964,0.27053575,0.12557174,0.042458974,0.079238086,0.036779112,41.421356,41.421356,41.421356
5406005623884166528,M,3524.0564,0.050010525,midA_strongGH,0.3,0.3,0.19005179,0.35467979,0.164628,0.05566488,0.10388331,0.048218426,41.421356,41.421356,41.421356
329380560894228736,M,3185.3464,0.007746533,midA_strongGH,0.3,0.3,0.074798854,0.13959165,0.064792791,0.021908077,0.040885446,0.018977369,41.421356,41.421356,41.421356
4144515455023438976,M,3735.6875,0.053443953,midA_strongGH,0.3,0.3,0.19646742,0.36665282,0.1701854,0.057543975,0.10739012,0.049846149,41.421356,41.421356,41.421356
6024847395467088896,M,3464.2517,0.042879555,midA_strongGH,0.3,0.3,0.17598125,0.32842097,0.15243972,0.051543714,0.096192274,0.04464856,41.421356,41.421356,41.421356
1521864868985899136,M,3788.5881,0.03970822,midA_strongGH,0.3,0.3,0.16934854,0.31604284,0.14669429,0.04960104,0.092566803,0.042965763,41.421356,41.421356,41.421356
3056152939464468224,M,3295.3455,0.01331672,midA_strongGH,0.3,0.3,0.098070839,0.18302245,0.084951615,0.028724284,0.053606036,0.024881752,41.421356,41.421356,41.421356
3865553476449055744,M,3361.9392,0.015823193,midA_strongGH,0.3,0.3,0.10690261,0.19950455,0.092601936,0.03131105,0.058433529,0.027122479,41.421356,41.421356,41.421356
3890769504321703552,M,3323.4675,0.012617093,midA_strongGH,0.3,0.3,0.095459886,0.17814982,0.082689936,0.027959553,0.052178875,0.024219322,41.421356,41.421356,41.421356
6791508124467139328,M,3582.462,0.044437513,midA_strongGH,0.3,0.3,0.17914972,0.33433405,0.15518433,0.052471738,0.097924177,0.045452439,41.421356,41.421356,41.421356
4664368121641153536,M,3553.348,0.038625676,midA_strongGH,0.3,0.3,0.16702416,0.31170501,0.14468085,0.048920245,0.091296284,0.04237604,41.421356,41.421356,41.421356
4437003754265040384,M,3419.3977,0.018546337,midA_strongGH,0.3,0.3,0.1157365,0.21599058,0.10025408,0.033898435,0.063262177,0.029363742,41.421356,41.421356,41.421356
123265458316531584,M,3379.2422,0.021383679,midA_strongGH,0.3,0.3,0.12427463,0.23192467,0.10765005,0.036399196,0.067929164,0.031529968,41.421356,41.421356,41.421356
